Timestamp,Are you single?,How old are you?,How long has it been since your last vacation (traveling).,"How eager are you to go vacationing right now? (1 = Not feeling it, 5 = Will go right now if given the chance)",Which country would you like to visit right now if COVID and work/school weren't a thing? Please answer 1 country only.,Why that country?
2/21/2021 18:37:06,Yes,20-29 years old,1-2 years ago,2,China,Learn more about how things work in China and good food
2/21/2021 18:37:10,Yes,20-29 years old,1-2 years ago,5,Taiwan,"It is the motherland, want to see family and eat good food."
2/21/2021 18:37:23,No,20-29 years old,1-2 years ago,4,Japan,"Japan is pretty nice, been there before."
2/21/2021 18:37:38,Yes,20-29 years old,1-2 years ago,1,Japan,I'm a Japanese major
2/21/2021 18:37:39,No,20-29 years old,3-5 years ago,5,Japan,I'm very interested in Japanese culture and anime.
2/21/2021 18:40:23,Yes,20-29 years old,1-2 years ago,4,Italy,always been one of the places I've always wanted to visit because I'm interested in Roman history
2/21/2021 18:40:24,No,50-59 years old,1-2 years ago,5,China,I haven't seen my friends and family for over a year because of COVID
2/21/2021 18:41:30,No,50-59 years old,3-5 years ago,4,Austria,"I haven't been there before, and really want to visit Vienna, ""the city of Music""."
2/21/2021 18:42:08,Yes,30-39 years old,1-2 years ago,1,Australia,Exotic
2/21/2021 18:47:23,Yes,20-29 years old,1-2 years ago,5,England,They speak the best kind of English there.
2/21/2021 18:49:21,Yes,20-29 years old,3-5 years ago,1,Switzerland,Nice looking place
2/21/2021 18:54:24,Yes,30-39 years old,Less than a year ago,5,Mexico,Cancun is pretty
2/21/2021 22:15:34,Yes,20-29 years old,1-2 years ago,4,Australia,have always wanted to visit!! 
2/21/2021 23:21:37,Yes,30-39 years old,3-5 years ago,3,Denmark,Never been to Europe
2/21/2021 23:22:39,No,50-59 years old,Less than a year ago,5,Mexico,To get out of the Texan winter
2/21/2021 23:30:42,No,60-69 years old,At least 10 years ago,5,Russia,It's pretty cool
2/22/2021 16:07:49,Yes,20-29 years old,1-2 years ago,1,Japan,N/A
2/22/2021 22:04:22,No,30-39 years old,Less than a year ago,5,Japan,N/A
2/23/2021 13:24:40,Yes,20-29 years old,Less than a year ago,5,Netherlands,N/A
2/23/2021 14:05:20,No,60-69 years old,3-5 years ago,4,Dubai,It's been snowing too much lately. I want to go somewhere warm.
2/23/2021 14:05:57,Yes,20-29 years old,1-2 years ago,3,England,I want to watch a Premier League game live in person.
2/23/2021 14:17:32,Yes,20-29 years old,3-5 years ago,2,Spain,I want to see what the tomato festival is all about.
2/23/2021 14:18:32,No,40-49 years old,3-5 years ago,3,Japan,My kids want to go lol.
